model_name,task,out_of_range_rate,mae,mse,rmse,r2,cv_rmse,accuracy,precision,recall,f1,roc_auc,cv_f1,training_seconds
ridge_regression,next_score_regression,0.0,3.7101,21.0314,4.586,0.7204,4.5561,,,,,,,0.0152
gradient_boosting_regressor,next_score_regression,0.0,3.8054,22.1802,4.7096,0.7051,4.6659,,,,,,,3.2538
random_forest_regressor,next_score_regression,0.0,3.9171,23.5219,4.8499,0.6873,4.7858,,,,,,,14.127
linear_regression,next_score_regression,0.9475,3.7074,21.0454,4.5875,0.7202,4.5551,,,,,,,0.0456
random_forest_classifier,risk_level_classification,,,,,,,0.824,0.8228,0.824,0.8234,0.8553,0.8017,4.741
gradient_boosting_classifier,risk_level_classification,,,,,,,0.829,0.8211,0.829,0.8211,0.8618,0.8115,10.6092
logistic_regression,risk_level_classification,,,,,,,0.727,0.8248,0.727,0.746,0.8805,0.7403,0.1129
